~id,~label,symbol:String,exp_hr_coeff:String,hr_pval:String
gene:ACVR2A,Gene,ACVR2A,0.590447,0.642619
gene:ACVR2B,Gene,ACVR2B,N/A,0.995127
gene:ACVRL1,Gene,ACVRL1,N/A,N/A
gene:ACY1,Gene,ACY1,N/A,N/A
gene:ACY3,Gene,ACY3,N/A,N/A
gene:ACYP1,Gene,ACYP1,N/A,N/A
gene:ACYP2,Gene,ACYP2,N/A,N/A
gene:AD000091.2,Gene,AD000091.2,N/A,N/A
gene:ADA,Gene,ADA,N/A,N/A
gene:ADAD1,Gene,ADAD1,N/A,0.995003
gene:ADAD2,Gene,ADAD2,N/A,N/A
gene:ADAL,Gene,ADAL,N/A,N/A
gene:ADAM10,Gene,ADAM10,0.32452,0.338909
gene:ADAM11,Gene,ADAM11,N/A,0.995082
gene:ADAM12,Gene,ADAM12,N/A,0.994635
gene:ADAM15,Gene,ADAM15,N/A,0.994302
gene:ADAM17,Gene,ADAM17,0.260081,0.204401
gene:ADAM18,Gene,ADAM18,N/A,0.995068
gene:ADAM19,Gene,ADAM19,0.0712627,0.0389997
gene:ADAM2,Gene,ADAM2,0.244843,0.243981
gene:ADAM20,Gene,ADAM20,N/A,N/A
gene:ADAM21,Gene,ADAM21,0.0907452,0.0151788
gene:ADAM21P1,Gene,ADAM21P1,0.391687,0.422627
gene:ADAM22,Gene,ADAM22,N/A,0.994357
gene:ADAM23,Gene,ADAM23,0.0502427,0.0399251
gene:ADAM28,Gene,ADAM28,N/A,N/A
gene:ADAM29,Gene,ADAM29,0.475958,0.560912
gene:ADAM30,Gene,ADAM30,N/A,0.994884
gene:ADAM32,Gene,ADAM32,0.489946,0.535027
gene:ADAM33,Gene,ADAM33,N/A,N/A
gene:ADAM3A,Gene,ADAM3A,N/A,N/A
gene:ADAM5,Gene,ADAM5,N/A,N/A
gene:ADAM6,Gene,ADAM6,N/A,N/A
gene:ADAM7,Gene,ADAM7,0.638849,0.709878
gene:ADAM8,Gene,ADAM8,0.0969394,0.108919
gene:ADAM9,Gene,ADAM9,0.387428,0.372952
gene:ADAMDEC1,Gene,ADAMDEC1,2.25854e-08,0.993795
gene:ADAMTS1,Gene,ADAMTS1,N/A,0.99476
