"Gene","Clinically_Sig"
"AIM2",0
"CACNA1S",1
"ECE1",0
"PTPRU",0
"PODN",0
"LPPR4",0
"SIGLEC1",0
"TP53TG5",0
"MICAL3",0
"CSF2RB",1
"ZSWIM2",0
"CHRNG",1
"KIF1A",1
"PAPOLG",0
"BMP10",0
"IGKV3.15",0
"BOC",0
"DIRC2",0
"COPG1",0
"WWTR1",0
"ATP13A4",0
"ZNF860",0
"MED28",0
"STOX2",0
"HERC6",0
"GLRA1",1
"FIG4",1
"SERPINB1",0
"PPP1R10",0
"AIF1",0
"EHMT2",0
"LRFN2",0
"PRPH2",1
"GLTSCR1L",0
"TDRD6",0
"IQUB",0
"TRPV5",0
"EPHA1",0
"ZNF862",0
"EFCAB1",1
"CNBD1",0
"RAB14",0
"FCN1",0
"RFX3",0
"AQP7",0
"ARMCX3",0
"SCML1",0
"SMC1A",1
"HUWE1",1
"ARMC4",1
"ANK3",1
"CTNNA3",1
"TSPAN15",0
"SFTPA1",0
"HTR7",0
"KMT2A",1
"OR5W2",0
"OR52N4",0
"SLC22A12",1
"FOLR2",0
"OIP5",0
"NTRK3",0
"ANPEP",0
"BLM",1
"SMG1",0
"CES5A",0
"MT1M",0
"GFOD2",0
"MYH1",0
"SMARCE1",1
"STAT5B",1
"HSD17B1",0
"MRPL10",0
"MSI2",0
"PPM1D",1
"ZNF271",0
"ZNF236",0
"AP1M1",0
"NCAN",0
"CD22",0
"DHX34",0
"ASH1L",1
"SEC16B",0
"PPP1R12B",0
"SERTAD4",0
"TCEB3",0
"MCOLN3",0
"SOGA1",0
"TTI1",0
"CLTCL1",0
"SLC5A1",1
"PTPN4",1
"PXDN",1
"PIKFYVE",0
"SLC16A14",0
"ARMC9",0
"ABI3BP",0
"TAMM41",1
"MASP1",0
"ANK2",1
"TRIML1",0
"SPATA18",0
"COQ2",1
"APC",1
"MAP1B",0
"SCML4",0
"MICAL1",0
"SAMD3",0
"ALDH8A1",0
"THBS2",0
"PRL",0
"SLC26A8",1
"KCTD20",0
"SYNCRIP",0
"PMPCB",1
"MYO1G",0
"ADCY1",0
"HEPACAM2",0
"WRN",1
"SLC1A1",0
"KIAA2026",0
"BGN",0
"TEX11",1
"FAM178A",1
"TDRD1",0
"TIMM23",0
"ADK",0
"ZNF202",0
"CD44",0
"SWAP70",0
"TAOK3",0
"ANKLE2",0
"CACNA1C",1
"RPSAP52",0
"CDCA3",0
"COL4A2",1
"FRY",0
"OR6S1",0
"MYH7",1
"NFATC4",0
"HECTD1",0
"PLEKHG3",0
"TMEM63C",0
"ONECUT1",0
"CELF6",0
"ARNT2",1
"FANCI",1
"SRL",0
"TUSC5",0
"SLC25A39",0
"PLD2",0
"ABCC3",0
"BCAS3",1
"SMARCD2",1
"NPTX1",0
"LDLRAD4",0
"ZNF521",0
"ARHGAP28",0
"NETO1",0
"TMEM59L",0
"HAPLN4",0
"ATP4A",0
"SYNE4",0
"CEACAM5",0
"C5AR1",0
"KCNJ14",0
"LRRC4B",0
"LILRB5",0
"S1PR1",0
"SPEN",1
"ABL2",0
"LAMC2",1
"PIGR",0
"DIEXF",0
"RHOU",0
"OR2T11",0
"FAM213B",0
"TSSK3",0
"BSDC1",0
"CSMD2",0
"ZZZ3",0
"CLCA2",0
"RBBP9",0
"CDK5RAP1",0
"RBL1",0
"STK4",1
"RBPJL",0
"TMPRSS15",1
"AIFM3",0
"TBC1D10A",0
"MOV10L1",0
"FASTKD1",0
"SSFA2",0
"PLEKHH2",0
"PPM1B",0
"ARMC8",0
"APEH",0
"OR5AC2",0
"USP53",1
"SULT1B1",0
"WDFY3",1
"SLC4A9",0
"HARS",1
"THG1L",0
"AGGF1",0
"OR2B2",0
"DNAH8",1
"IBTK",0
"MUC3A",0
"AKR1B10",0
"VIPR2",0
"IGFBP3",0
"PDK4",0
"SPAG1",1
"CYC1",0
"TNFRSF10B",0
"PXDNL",0
"HEY1",0
"WDR34",0
"DDX58",0
"NTRK2",0
"SORCS1",0
"VTI1A",0
"PSAP",1
"RIC8A",0
"B3GAT3",1
"PPP1R14B",0
"MOGAT2",0
"MPHOSPH9",0
"NCOR2",0
"ITPR2",0
"CHD4",1
"LIG4",1
"IGHV3.48",0
"IGHV1.58",0
"AP1G2",1
"HSPA2",0
"SETD3",0
"MAP1A",0
"BNC1",0
"MYH11",0
"LUC7L",0
"TNFRSF12A",0
"MEFV",0
"NUP93",1
"TMEM208",0
"PITPNA",0
"SLC43A2",0
"SNORD3D",0
"P2RX1",0
"LINC00674",0
"NEURL4",0
"FBF1",0
"CHST9",0
"RDH8",0
"EPS15L1",0
"RUVBL2",0
"ZNF304",0
"PTBP1",0
"C1orf127",0
"ADORA3",0
"ADAMTS4",0
"FAM20B",0
"ARHGEF10L",1
"PTGS2",0
"UBR4",0
"EMC1",0
"AKR7L",0
"CD55",1
"CR1",0
"TXLNA",0
"EVI5",0
"BPIFA2",0
"DIDO1",0
"TRAPPC10",0
"USP18",1
"GNAZ",0
"DEPDC5",1
"EIF3L",0
"CNTNAP5",0
"MAP3K2",0
"SCN1A",1
"USP40",0
"FARP2",0
"DNMT3A",1
"HK2",0
"KIAA1211L",0
"HDAC11",0
"ACPL2",0
"XPC",1
"CPB1",0
"MCF2L2",0
"CLCN2",1
"MUC4",0
"SLC4A7",0
"CLASP2",0
"SETD5",1
"TBCK",1
"ACSL1",0
"RBM47",0
"GNPDA2",0
"AQPEP",0
"SLC12A2",0
"NEUROG1",0
"PCDHGA9",0
"PCDHGC5",0
"MYO10",0
"C5orf42",1
"GPR98",1
"KIF25",0
"HLA.DOB",0
"DST",1
"RIMS1",0
"ZSCAN21",0
"FAM91A1",0
"ADCK5",0
"VPS28",0
"ST18",0
"CERCAM",0
"RAPGEF1",0
"OMD",0
"C11orf63",0
"OR5I1",0
"CPT1A",1
"HEPHL1",0
"DNM1L",1
"LARP4",0
"KRT1",1
"LRRIQ1",0
"DIAPH3",0
"IGHV1.18",0
"TDP1",0
"RTF1",0
"MAPKBP1",0
"SLC28A2",0
"HERC1",1
"SEC11A",0
"CDH16",0
"DHRS7B",0
"SCRN2",0
"OTOP2",0
"CRNN",0
"IVL",0
"CRB1",1
"RBBP4",0
"SYDE2",0
"ZNF217",0
"SON",1
"GUCD1",0
"SCN9A",1
"METTL8",0
"GLS",1
"SOS1",1
"CDKL4",0
"FBXO40",0
"ADCY5",1
"PLSCR1",0
"SDHAP1",0
"CLGN",0
"GPR78",0
"TENM2",0
"ZNF354A",0
"ARL15",0
"NR2F1",1
"ENPP3",0
"HIVEP2",1
"TRIM39",0
"PTPRZ1",0
"MEST",0
"PLXNA4",0
"HOXA2",0
"PKD1L1",1
"CSGALNACT1",0
"EBF2",0
"CLU",0
"HEMGN",0
"LRRC8A",0
"CA9",0
"SECISBP2",0
"MIR513A1",0
"MAGEB16",0
"ELK1",0
"COX15",0
"CACUL1",0
"ZNF511",0
"FZD8",0
"OGDHL",0
"CCDC6",0
"CDK1",0
"SUPV3L1",0
"PRF1",1
"SYNPO2L",0
"C11orf88",0
"KIRREL3",0
"OPCML",1
"INSC",0
"CTSD",1
"DEPDC7",0
"LRP5",1
"TAS2R50",0
"TAS2R20",0
"CUX2",0
"CAMKK2",0
"EIF2S1",0
"PTPN21",0
"CCDC88C",0
"PAK6",0
"VPS39",0
"DNAJA4",0
"NR2F2",1
"DNAH3",0
"SLC5A11",0
"PRSS21",0
"AXIN1",1
"CES3",0
"TXNL4B",0
"ANKRD11",1
"MBD1",0
"CIC",1
"SIGLEC11",0
"FBN3",0
"PLOD1",1
"FAM63A",0
"DHX9",1
"VASH2",0
"AGT",1
"ESPN",1
"CDC7",0
"AP5S1",0
"CLIC6",0
"DSCAM",1
"ITGB2",1
"ISX",0
"GGA1",0
"ATXN10",0
"NPHP1",1
"CYTIP",0
"CHN1",0
"HOXD10",0
"UGT1A3",0
"GPR113",0
"ACAD11",0
"DLG1",0
"SLC38A3",0
"CACNA2D3",0
"EPHA3",0
"PCDH18",0
"FNIP2",0
"C4orf50",0
"PCDHB12",0
"ADAM19",0
"IQGAP2",0
"RASGRF2",0
"B3GAT2",0
"GJA10",0
"CUX1",1
"CDHR3",0
"NRCAM",1
"LEP",1
"AGAP3",0
"SCRN1",0
"HERPUD2",0
"FAM83A",0
"FER1L6",0
"MYBL1",0
"SMC2",0
