Gene,Frequency
PDZD2,0.08
PTGER4,0.0114285714285714
MTRR,0.0171428571428571
ANKRD32,0.0342857142857143
TAB2,0.0257142857142857
TAGAP,0.0228571428571429
PRSS16,0.00571428571428571
DXO,0.00857142857142857
TAP1,0.0228571428571429
SBP1,0
TEAD3,0.0114285714285714
KCNK5,0.0114285714285714
MAD2L1BP,0.00285714285714286
EPHB4,0.0257142857142857
SRRT,0.04
RELN,0.111428571428571
KCND2,0.0457142857142857
FLNC,0.102857142857143
SDK1,0.16
ZHX1,0.0114285714285714
PLEC,0.0942857142857143
CA2,0.0171428571428571
UQCRB,0.00571428571428571
PAPPA,0.08
TLR4,0.0171428571428571
LHX2,0.02
PKN3,0.0342857142857143
ZDHHC12,0.00571428571428571
C9orf114,0.0171428571428571
TLE1,0.0285714285714286
S1PR3,0.0114285714285714
MAGEA11,0.02
CD99L2,0.0142857142857143
L1CAM,0.0285714285714286
MAGEE1,0.0571428571428571
PGAM4,0.00285714285714286
ITGA8,0.0428571428571429
CDHR1,0.02
GRIA4,0.0457142857142857
PRR5L,0.0114285714285714
INPPL1,0.0485714285714286
CREBZF,0.00857142857142857
CIT,0.0485714285714286
ARID2,0.0828571428571429
VWF,0.0942857142857143
GRK1,0.0142857142857143
RIN3,0.0228571428571429
DMXL2,0.0771428571428571
ADAMTSL3,0.08
RP11.812E19.9,0.0114285714285714
BCMO1,0.00857142857142857
MAP3K14,0.0114285714285714
ARHGAP27,0.02
MTMR4,0.0342857142857143
DNAH2,0.114285714285714
CELF4,0.0314285714285714
ANO8,0.0371428571428571
ZNF724P,0.0228571428571429
SUPT5H,0.0371428571428571
CCDC61,0.0114285714285714
KCNA7,0.00571428571428571
ZNF816,0.02
NLRP13,0.0428571428571429
OLFM3,0.0142857142857143
PADI1,0.0257142857142857
IGSF21,0.0257142857142857
LBR,0.0142857142857143
OR2T6,0.0257142857142857
IL12RB2,0.0342857142857143
TYW3,0.0114285714285714
BAGE2,0.0571428571428571
TIAM1,0.0771428571428571
LZTR1,0.0457142857142857
SEZ6L,0.0514285714285714
CDK15,0.00857142857142857
ATG9A,0.0142857142857143
SLC4A3,0.0428571428571429
NGEF,0.02
DGKD,0.0485714285714286
HDAC4,0.0485714285714286
ADCY3,0.0342857142857143
SOCS5,0.0257142857142857
MRPL53,0.00571428571428571
LOXL3,0.0285714285714286
ZBTB20,0.08
TMEM108,0.02
EOMES,0.04
SCN5A,0.0942857142857143
CCDC51,0.0171428571428571
SLC26A6,0.0142857142857143
DOCK3,0.105714285714286
SFMBT1,0.0285714285714286
FAT4,0.265714285714286
CLDN22,0.00285714285714286
PCDHGA5,0.0685714285714286
GRXCR2,0.00857142857142857
DUSP1,0.00285714285714286
BOD1,0.00857142857142857
RAB3C,0.0257142857142857
ZBTB22,0.0314285714285714
CDYL,0.0314285714285714
RREB1,0.02
PCOLCE,0.0142857142857143
KCNH2,0.0285714285714286
FSCN1,0.0171428571428571
AKAP9,0.1
LOXL2,0.04
CCDC180,0.0485714285714286
DPH7,0.00857142857142857
SLC24A2,0.0485714285714286
UBAP2,0.0228571428571429
KIAA1210,0.0314285714285714
GRIA3,0.0285714285714286
TAF1,0.04
KLHL4,0.0428571428571429
SLIT1,0.0685714285714286
CRTAM,0.0142857142857143
TIRAP,0.00571428571428571
QSER1,0.0228571428571429
OR51G1,0.0114285714285714
DLG2,0.0771428571428571
GALNT8,0.0114285714285714
PTPRB,0.0628571428571429
HAL,0.02
PPL,0.06
SPECC1,0.0542857142857143
GPR179,0.08
GRB7,0.0114285714285714
C18orf8,0.0371428571428571
CDH7,0.0314285714285714
MAST1,0.0371428571428571
ZNF493,0.0228571428571429
APLP1,0.04
RALGPS2,0.0114285714285714
RNF2,0.00571428571428571
IFT52,0.00571428571428571
FERMT1,0.02
LTN1,0.0314285714285714
COL6A1,0.0428571428571429
TCF20,0.0571428571428571
TAF1B,0.0114285714285714
